,,,,,,,Games,Games,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
61,Todd Peterson\petertod01,2000,2005,7-177,TOT,NFL,77,0,0,157,160,98.1,107,138,77.5,,,478,484.0,484.0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,1
62,Cody Parkey\ParkCo03,2014,2019,,TOT,NFL,68,0,0,154,162,95.1,102,121,84.3,,,460,476.0,476.0,7.00,7.00,0,0,0,0,0,0,0,0,0,0,0,0
63,Garrett Hartley\HartGa00,2008,2014,,TOT,NFL,59,0,0,178,179,99.4,85,104,81.7,,,433,445.0,445.0,7.54,7.54,0,0,0,0,0,0,0,0,0,0,0,0
64,Harrison Butker\ButkHa00,2017,2019,7-233,KAN,NFL,45,0,0,138,145,95.2,96,107,89.7,,,426,444.0,444.0,9.87,9.87,0,0,0,0,0,0,0,0,0,0,0,0
65,Steve Christie\chrisste01,2000,2004,,TOT,NFL,69,0,0,141,142,99.3,90,120,75.0,,,411,423.0,423.0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0
66,Doug Brien\briendou01,2000,2005,3-85,TOT,NFL,60,0,0,108,111,97.3,85,106,80.2,,,363,365.0,365.0,6.08,6.08,0,0,0,0,0,0,0,0,0,0,0,0
67,Ka'imi Fairbairn\FairKa01,2017,2019,,HTX,NFL,48,0,0,111,121,91.7,77,92,83.7,,,342,362.0,362.0,7.54,7.54,0,0,0,0,0,0,0,0,0,0,0,0
68,Alex Henery\HeneAl00,2011,2014,4-120,TOT,NFL,50,0,0,121,122,99.2,75,91,82.4,,,346,352.0,352.0,7.04,7.04,0,0,0,0,0,0,0,0,0,0,0,0
69,Jake Elliott\ElliJa03,2017,2019,5-153,PHI,NFL,47,0,0,107,114,93.9,74,88,84.1,,,329,345.0,345.0,7.34,7.34,0,1,0,0,1,0,0,0,0,0,0,0
70,Mike Hollis\hollimik01,2000,2002,,TOT,NFL,44,0,0,102,104,98.1,67,87,77.0,,,303,315.0,315.0,7.16,7.16,0,0,0,0,0,0,0,0,0,0,0,0
71,Aldrick Rosas\RosaAl00,2017,2019,,NYG,NFL,48,0,0,86,94,91.5,62,75,82.7,,,272,286.0,286.0,5.96,5.96,0,0,0,0,0,0,0,0,0,0,0,0
72,Dave Rayner\raynedav01,2005,2011,6-202,TOT,NFL,59,0,0,77,78,98.7,65,90,72.2,,,272,282.0,282.0,4.78,4.78,0,0,0,0,0,0,0,0,0,0,0,0
73,Jose Cortez\cortejos01,2001,2005,,TOT,NFL,54,0,0,99,100,99.0,53,74,71.6,,,258,260.0,260.0,4.81,4.81,0,0,0,0,0,0,0,0,0,0,0,0
74,Zane Gonzalez\GonzZa00,2017,2019,7-224,TOT,NFL,39,0,0,67,72,93.1,55,69,79.7,,,232,244.0,244.0,6.26,6.26,0,0,0,0,0,0,0,0,0,0,0,0
75,Brett Maher\MaheBr01,2018,2019,,DAL,NFL,29,0,0,68,69,98.6,49,66,74.2,,,215,235.0,235.0,8.10,8.10,0,0,0,0,0,0,0,0,0,0,0,0
76,Jason Sanders\SandJa00,2018,2019,7-229,MIA,NFL,32,0,1,64,66,97.0,41,50,82.0,,,193,201.1,202.1,6.28,6.32,0,0,0,0,0,0,0,0,1,1,1,0
77,Tim Seder\sedertim01,2000,2002,,TOT,NFL,28,0,2,50,50,100.0,44,62,71.0,,,194,194.9,194.9,6.96,6.96,0,0,0,0,0,2,9,2,0,0,0,0
78,Patrick Murray\MurrPa01,2014,2017,,TOT,NFL,30,0,0,55,57,96.5,40,49,81.6,,,175,189.0,189.0,6.30,6.30,0,0,0,0,0,0,0,0,0,0,0,0
79,Brett Conway\conwabre01,2000,2003,3-90,TOT,NFL,29,0,0,43,43,100.0,47,59,79.7,,,184,188.0,188.0,6.48,6.48,0,0,0,0,0,0,0,0,0,0,0,0
80,Wade Richey\richewad01,2000,2004,,TOT,NFL,71,0,0,69,71,97.2,37,56,66.1,,,180,184.0,184.0,2.59,2.59,0,0,0,0,0,0,0,0,0,0,0,0
81,Bill Gramatica\gramabil01,2001,2004,4-98,TOT,NFL,34,0,0,60,61,98.4,37,48,77.1,,,171,175.0,175.0,5.15,5.15,0,0,0,0,0,0,0,0,0,0,0,0
82,Daniel Carlson\CarlDa00,2018,2019,5-167,TOT,NFL,28,0,0,58,60,96.7,36,47,76.6,,,166,172.0,172.0,6.14,6.14,0,0,0,0,0,0,0,0,0,0,0,0
83,Andrew Franks\FranAn01,2015,2016,,MIA,NFL,32,0,0,74,78,94.9,29,37,78.4,,,161,165.0,165.0,5.16,5.16,0,0,0,0,0,0,0,0,0,0,0,0
84,Matt Gay\GayxMa00,2019,2019,5-145,TAM,NFL,16,0,0,43,48,89.6,27,35,77.1,,,124,134.0,134.0,8.38,8.38,0,0,0,0,0,0,0,0,0,0,0,0
